,buy_x,buy_y,sell_x,sell_y,hr,buy_spread,sell_spread,buy_investment,sell_investment,buyZScore,sellZScore,long_entry,long_exit,num_units_long,short_entry,short_exit,num_units_short,numUnits,transaction,positionSwitch,tradecosts,hr_memory,invest_memory,buy_spread_memory,sell_spread_memory,buy_spread_pct_ch,sell_spread_pct_ch,port_rets,cum rets
2019-03-21 14:20:00,57.45523000000001,57.28277075,57.44799999999999,57.266332,0.9970000000000001,0.007114749999996661,-0.016532310000003037,114.55842675000001,114.54919631,-0.8449840145321157,-1.176804661752556,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.007114749999999503,-0.016532310000016537,-5.856042342673363e-05,4.6091663237761914e-05,0.0,1.0004308022712056
2019-03-21 14:30:00,57.481500000000004,57.309738909999986,57.47073,57.297912245,0.9970000000000001,0.011421099999997608,-0.011143255000002484,114.60805672,114.60696774499999,-0.9891330556487445,-1.0226048697707808,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.011421099999978424,-0.011143255000014562,3.927760701052206e-05,4.9152805612456634e-05,0.0,1.0004308022712056
2019-03-21 14:40:00,57.523469999999996,57.35334155,57.51149999999999,57.331011745,0.9970000000000001,0.014376049999994932,-0.019887844999998804,114.69230705,114.681911335,-1.0872348766981417,-1.307485418508475,False,True,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.014376050000002749,-0.01988784500000662,2.6951679458768037e-05,-7.975816398795046e-05,0.0,1.0004308022712056
2019-03-21 14:50:00,57.54551,57.37322518,57.534499999999994,57.35288554,0.9970000000000001,0.011328680000001156,-0.01998792999999921,114.73512167999999,114.72575901,-0.982729298000952,-1.3229096263561724,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.011328679999998315,-0.019987930000006315,-2.7794629158432243e-05,-9.128610767019266e-07,0.0,1.0004308022712056
2019-03-21 15:00:00,57.63199999999999,57.46489661999999,57.62149999999999,57.442599735,0.9970000000000001,0.01626111999999935,-0.016504265000003217,114.91353211999999,114.901703735,-1.151725184371464,-1.2329094225081156,False,True,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.0162611199999958,-0.01650426499999469,4.498808501952441e-05,3.177401391606274e-05,0.0,1.0004308022712056
2019-03-21 15:10:00,57.775,57.606276675000004,57.75367,57.570885889999985,0.9970000000000001,0.025867685000001472,-0.03078911000000133,115.18668566499998,115.17256088999997,-1.490057542823863,-1.6950675133949802,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.025867684999994367,-0.030789110000021935,8.762011559506929e-05,-0.00013029004333601254,0.0,1.0004308022712056
2019-03-21 15:20:00,57.713840000000005,57.5482041075,57.690999999999995,57.51647517,0.9970000000000001,0.030277107500000965,-0.024223309999997868,115.0661311075,115.05717365000001,-1.6571075709952192,-1.4874451830152513,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.030277107499998124,-0.024223310000010656,4.021771665084098e-05,5.9885729704132534e-05,0.0,1.0004308022712056
2019-03-21 15:30:00,57.67099999999999,57.50448072999999,57.65108,57.480280085000004,0.9970000000000001,0.02635397000000239,-0.01770691499999799,114.98260748999999,114.97826708500001,-1.5436772536360759,-1.2768237138378615,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.026353969999981075,-0.01770691499999799,-3.5782380200091934e-05,5.943511371279186e-05,0.0,1.0004308022712056
2019-03-21 15:40:00,57.65399999999998,57.48925505,57.629,57.46179686000001,0.9970000000000001,0.0331420499999993,-0.019241139999999747,114.94536804999998,114.94283485999999,-1.792845289612578,-1.3262586158741891,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.03314204999999504,-0.019241139999984114,6.191311402878032e-05,-1.399344842278684e-05,0.0,1.0004308022712056
2019-03-21 15:50:00,57.706,57.534781015,57.677,57.50731413,0.9970000000000001,0.030812014999998638,-0.025567869999996162,115.03875001499998,115.04019612999998,-1.7105789789602381,-1.5317171516503314,False,False,0.0,False,False,0.0,0.0,False,False,0.0,0.9970000000000001,109.63880765000002,0.030812014999995085,-0.025567870000010373,-2.125191845790702e-05,-5.7705206173192624e-05,0.0,1.0004308022712056
