,buy_x,buy_y,sell_x,sell_y,hr,buy_spread,sell_spread,buy_investment,sell_investment,buyZScore,sellZScore,long_entry,long_exit,num_units_long,short_entry,short_exit,num_units_short,numUnits,transaction,positionSwitch,tradecosts,hr_memory,invest_memory,buy_spread_memory,sell_spread_memory,buy_spread_memory_pos_switch,sell_spread_memory_pos_switch,buy_spread_pct_ch,sell_spread_pct_ch,long_holding_ret,short_holding_ret,spread_cost_ret,transaction_cost_ret,port_rets,cum rets
2019-08-07 13:45:00,10.361355768,61.2278,10.355084223999999,61.182,4.5788,13.813940355148809,13.739424209481605,108.64165964485119,108.6245757905184,-1.6081871414675308,1.2516720944160953,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.69205149734401,14.618067178608008,14.69205149734401,14.618067178608008,-0.000828348401585169,0.0002736236378766319,0.0,0.000828348401585169,0.0,0.0,1.0008283484015852,1.033030535376846
2019-08-07 13:50:00,10.370870748,61.193000000000005,10.365047204000001,61.114,4.573600000000001,13.787420107785593,13.68178554694719,108.59857989221442,108.54621445305281,-1.5385793247706236,1.1096669369491823,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.612477865224001,14.507306858488,14.612477865224001,14.507306858488,-0.0006935938542642624,-0.0009654288146068166,0.0,0.0006935938542642624,0.0,0.0,1.0006935938542643,1.0337470390074508
2019-08-07 13:55:00,10.372685505,61.18625,10.366523445,61.1525,4.57375,13.772363393431242,13.710429671506247,108.60013660656875,108.59457032849376,-1.4953649352583485,1.166862386540106,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.599093638170004,14.537651340530005,14.599093638170004,14.537651340530005,-0.00011666198188275978,0.00026449397488133324,0.0,0.00011666198188275978,0.0,0.0,1.0001166619818829,1.033867637985787
2019-08-07 14:00:00,10.384400625000001,61.1925,10.38159976,61.1625,4.5705,13.743398296919999,13.700596943437496,108.64160170308,108.6244030565625,-1.421286106715638,1.13545220278729,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.53759067856,14.495003591249997,14.53759067856,14.495003591249997,-0.0005360830424357922,-0.0003717339024339706,0.0,0.0005360830424357922,0.0,0.0,1.0005360830424357,1.0344218768946343
2019-08-07 14:05:00,10.390736415,61.135000000000005,10.386814245,61.0975,4.56525,13.71659626801376,13.661190581421252,108.55340373198625,108.53380941857874,-1.3528834169575075,1.0362740382501818,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.456656782970008,14.401530550990003,14.456656782970008,14.401530550990003,-0.000705450424811877,-0.0008147463492171679,0.0,0.000705450424811877,0.0,0.0,1.0007054504248118,1.0351516102471243
2019-08-07 14:10:00,10.404515473333333,61.07,10.400030053333333,60.99666666666667,4.5553333333333335,13.69439643038222,13.600630513808888,108.44560356961779,108.39270281952446,-1.2940812533580155,0.8913611412665391,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.332264940320002,14.238774129506673,14.332264940320002,14.238774129506673,-0.001084246317329481,-0.0014186464872262014,0.0,0.001084246317329481,0.0,0.0,1.0010842463173295,1.0362739695684124
2019-08-07 14:15:00,10.427620816000001,61.062,10.421338964,61.034000000000006,4.5442,13.705351479791197,13.648805487932805,108.41864852020879,108.41919451206721,-1.3121560009091358,0.9955675663794136,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.228502695784002,14.172272052896005,14.228502695784002,14.172272052896005,-0.0009044309427310644,-0.0005796572357462076,0.0,0.0009044309427310644,0.0,0.0,1.000904430942731,1.037211207811637
2019-08-07 14:20:00,10.429889508,61.169,10.422262836000002,61.1,4.5434,13.81649103091759,13.712840009352796,108.5215089690824,108.4871599906472,-1.5574287731174545,1.136077939442245,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.331350815015995,14.228076551048005,14.331350815015995,14.228076551048005,0.0008964630810664051,0.0004864130985017028,0.0,-0.0008964630810664051,0.0,0.0,0.9991035369189336,1.0362813862565654
2019-08-07 14:25:00,10.415843424999998,61.10375,10.412478175,61.0625,4.545,13.779036694624999,13.722491633375007,108.428463305375,108.402508366625,-1.4622786373511734,1.1510106912944646,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.310073081550001,14.25369964805001,14.310073081550001,14.25369964805001,-0.0001854647673041794,0.00022334059831533292,0.0,0.0001854647673041794,0.0,0.0,1.000185464767304,1.036473579942729
2019-08-07 14:30:00,10.433752007999999,61.077,10.423875568,61.056,4.5404,13.7484353710528,13.682592382876805,108.40556462894719,108.42940761712319,-1.384740677936789,1.0503666277000254,False,False,0.0,False,False,-1.0,-1.0,False,False,0.0,4.494,114.72655305520001,14.232103197408001,14.166718476048004,14.232103197408001,14.166718476048004,-0.0006796149807140571,-0.0007581607717278388,0.0,0.0006796149807140571,0.0,0.0,1.000679614980714,1.0371779829147723
